Hombres Probabilidad,Hombres Afrodescendientes,Mujeres,Mujeres Afrodescendientes,Real
0.5700778517720084,1.0,0.5919976200974364,1.0,1

1.0,1.0,1.0,1.0,1

0.5700778517720084,1.0,0.5919976200974364,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

0.6129152857724287,1.0,0.5487463981816144,1.0,1

0.5700778517720084,1.0,0.5919976200974364,1.0,1

0.5700778517720084,1.0,0.5919976200974364,1.0,1

0.5700778517720084,1.0,0.5919976200974364,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

0.5700778517720084,1.0,0.5919976200974364,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

0.6129152857724287,1.0,0.5487463981816144,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

0.5700778517720084,1.0,0.5919976200974364,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

0.6129152857724287,1.0,0.5487463981816144,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

0.5700778517720084,1.0,0.5919976200974364,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

0.5700778517720084,1.0,0.5919976200974364,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

0.5700778517720084,1.0,0.5919976200974364,1.0,1

0.5700778517720084,1.0,0.5919976200974364,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

0.5700778517720084,1.0,0.5919976200974364,1.0,1

0.5700778517720084,1.0,0.5919976200974364,1.0,1

0.5700778517720084,1.0,0.5919976200974364,1.0,1

1.0,1.0,1.0,1.0,1

0.6129152857724287,1.0,0.5487463981816144,1.0,1

1.0,1.0,1.0,1.0,1

0.6129152857724287,1.0,0.5487463981816144,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

0.6129152857724287,1.0,0.5487463981816144,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

0.5700778517720084,1.0,0.5919976200974364,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

0.5700778517720084,1.0,0.5919976200974364,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

1.0,1.0,1.0,1.0,1

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

0.5954224525187258,0.6142510239168968,0.6064848517996217,0.6822694998019659,0

0.5574427633165758,0.5633085232103343,0.5426364208078126,0.6225885019561433,0

